Month	County Name	Benefits Paid	Weeks Compensated	Recipients	First Payments	Final Payments	County FIP	GNIS Feature ID	Primary Lat Dec	Primary Long Dec	Primary County Coordinates
1/31/2016 0:00	Adair	$112,191 	301	106	46	3	19001	465190	41.3307464	-94.4709413	(41.3307464, -94.4709413)
1/31/2016 0:00	Adams	$44,409 	117	38	21	2	19003	465191	41.0289839	-94.6991849	(41.0289839, -94.6991849)
1/31/2016 0:00	Allamakee	$320,623 	859	246	123	3	19005	465192	43.2842838	-91.3780923	(43.2842838, -91.3780923)
1/31/2016 0:00	Appanoose	$213,910 	646	246	131	4	19007	465193	40.7431635	-92.8686104	(40.7431635, -92.8686104)
1/31/2016 0:00	Audubon	$83,205 	246	69	30	3	19009	465194	41.6845893	-94.9058222	(41.6845893, -94.9058222)
1/31/2016 0:00	Benton	$437,581 	1214	436	232	18	19011	465195	42.0801864	-92.0656912	(42.0801864, -92.0656912)
1/31/2016 0:00	Black Hawk	$2,609,762 	7365	2781	1339	95	19013	465196	42.4700957	-92.3088197	(42.4700957, -92.3088197)
1/31/2016 0:00	Boone	$288,826 	824	257	88	10	19015	465197	42.0365493	-93.931671	(42.0365493, -93.931671)
1/31/2016 0:00	Bremer	$442,467 	1204	426	204	15	19017	465198	42.7745873	-92.3180548	(42.7745873, -92.3180548)
1/31/2016 0:00	Buchanan	$480,825 	1255	448	244	17	19019	465199	42.4707777	-91.8378392	(42.4707777, -91.8378392)
1/31/2016 0:00	Buena Vista	$229,433 	623	217	64	6	19021	465200	42.7354936	-95.151149	(42.7354936, -95.151149)
1/31/2016 0:00	Butler	$446,794 	1136	384	154	10	19023	465201	42.7315661	-92.7901934	(42.7315661, -92.7901934)
1/31/2016 0:00	Calhoun	$113,664 	320	95	30	5	19025	465202	42.3851848	-94.6404136	(42.3851848, -94.6404136)
1/31/2016 0:00	Carroll	$151,250 	421	114	38	5	19027	465203	42.0362382	-94.8605593	(42.0362382, -94.8605593)
1/31/2016 0:00	Cass	$261,684 	676	205	113	5	19029	465204	41.3314876	-94.9278266	(41.3314876, -94.9278266)
1/31/2016 0:00	Cedar	$341,990 	898	293	111	9	19031	465205	41.7723207	-91.1324125	(41.7723207, -91.1324125)
1/31/2016 0:00	Cerro Gordo	$611,030 	1782	631	275	22	19033	465206	43.0815577	-93.2608184	(43.0815577, -93.2608184)
1/31/2016 0:00	Cherokee	$180,587 	495	150	62	14	19035	465207	42.7356226	-95.6238055	(42.7356226, -95.6238055)
1/31/2016 0:00	Chickasaw	$230,139 	595	185	84	11	19037	465208	43.0600414	-92.3176637	(43.0600414, -92.3176637)
1/31/2016 0:00	Clarke	$162,849 	424	119	54	4	19039	465209	41.0290323	-93.7851579	(41.0290323, -93.7851579)
1/31/2016 0:00	Clay	$425,764 	1189	452	210	11	19041	465625	43.0825804	-95.1509194	(43.0825804, -95.1509194)
1/31/2016 0:00	Clayton	$711,396 	1842	568	269	16	19043	465210	42.8447493	-91.3414328	(42.8447493, -91.3414328)
1/31/2016 0:00	Clinton	$835,904 	2448	813	287	32	19045	465211	41.8980358	-90.5319724	(41.8980358, -90.5319724)
1/31/2016 0:00	Crawford	$476,567 	1287	360	67	12	19047	465212	42.0372125	-95.3819678	(42.0372125, -95.3819678)
1/31/2016 0:00	Dallas	$533,801 	1426	465	183	19	19049	465213	41.6848862	-94.0397374	(41.6848862, -94.0397374)
1/31/2016 0:00	Davis	$128,357 	366	138	57	6	19051	465214	40.7476891	-92.4097173	(40.7476891, -92.4097173)
1/31/2016 0:00	Decatur	$88,254 	240	75	21	4	19053	465215	40.7376827	-93.7862815	(40.7376827, -93.7862815)
1/31/2016 0:00	Delaware	$292,665 	770	247	100	9	19055	465216	42.471211	-91.3673502	(42.471211, -91.3673502)
1/31/2016 0:00	Des Moines	$942,030 	2708	1027	479	38	19057	465217	40.9231829	-91.1814707	(40.9231829, -91.1814707)
1/31/2016 0:00	Dickinson	$764,527 	2130	808	405	17	19059	465218	43.3779848	-95.1508301	(43.3779848, -95.1508301)
1/31/2016 0:00	Dubuque	$1,804,860 	5008	1807	857	35	19061	465219	42.468832	-90.8824564	(42.468832, -90.8824564)
1/31/2016 0:00	Emmet	$311,758 	877	367	200	8	19063	465220	43.3780225	-94.6784803	(43.3780225, -94.6784803)
1/31/2016 0:00	Fayette	$528,192 	1443	469	238	7	19065	465221	42.8625919	-91.8443207	(42.8625919, -91.8443207)
1/31/2016 0:00	Floyd	$378,484 	1040	412	162	12	19067	465222	43.0599208	-92.7890033	(43.0599208, -92.7890033)
1/31/2016 0:00	Franklin	$167,551 	428	146	54	3	19069	465223	42.7325458	-93.262473	(42.7325458, -93.262473)
1/31/2016 0:00	Fremont	$58,656 	182	54	19	5	19071	465224	40.7455892	-95.6046765	(40.7455892, -95.6046765)
1/31/2016 0:00	Greene	$106,986 	323	93	35	5	19073	465225	42.0362394	-94.3968356	(42.0362394, -94.3968356)
1/31/2016 0:00	Grundy	$180,286 	474	164	73	6	19075	465226	42.4018651	-92.7914177	(42.4018651, -92.7914177)
1/31/2016 0:00	Guthrie	$172,633 	435	127	57	3	19077	465227	41.6837548	-94.501055	(41.6837548, -94.501055)
1/31/2016 0:00	Hamilton	$213,646 	613	192	73	10	19079	465228	42.3837722	-93.7068085	(42.3837722, -93.7068085)
1/31/2016 0:00	Hancock	$112,996 	295	125	56	4	19081	465229	43.0818861	-93.7342723	(43.0818861, -93.7342723)
1/31/2016 0:00	Hardin	$314,543 	821	255	106	11	19083	465230	42.3838803	-93.2404025	(42.3838803, -93.2404025)
1/31/2016 0:00	Harrison	$186,610 	495	138	43	3	19085	465231	41.6828528	-95.8169209	(41.6828528, -95.8169209)
1/31/2016 0:00	Henry	$262,729 	739	238	99	10	19087	465232	40.9879383	-91.5445241	(40.9879383, -91.5445241)
1/31/2016 0:00	Howard	$199,234 	511	150	67	6	19089	465233	43.3567673	-92.3171989	(43.3567673, -92.3171989)
1/31/2016 0:00	Humboldt	$141,471 	364	107	44	4	19091	465234	42.7764686	-94.2071868	(42.7764686, -94.2071868)
1/31/2016 0:00	Ida	$85,139 	231	74	26	2	19093	465235	42.3868747	-95.5134962	(42.3868747, -95.5134962)
